"osm_id","name","ref","highway","aadt","roadtype","road_importance","urban"
"413","Lane End",NA,"residential",NA,"minor",2,1
"415","Foreland Road","B3395","secondary",NA,"minor",5,1
"416","Steyne Road","B3395","secondary",NA,"minor",4,1
"698","Carpenters Road","B3330","secondary",NA,"minor",4,0
"701","Mill Road",NA,"tertiary",NA,"minor",4,1
"705","Downsview Road",NA,"residential",NA,"minor",5,1
"706","Lincoln Way",NA,"residential",NA,"minor",5,1
"709","Paddock Drive",NA,"residential",NA,"minor",4,1
"710","Forelands Field Road",NA,"residential",NA,"minor",5,1
"713","Howgate Road",NA,"residential",NA,"minor",3,0
"716","Church Road","B3395","secondary",NA,"minor",1,1
"738","Watergate Road",NA,"unclassified",NA,"minor",5,1
"1136","Commonwood Lane",NA,"unclassified",NA,"minor",5,0
"1139","Hillway Road",NA,"tertiary",NA,"minor",3,0
"1140","Sandown Road","B3395","secondary",NA,"minor",4,0
"1144","Latimer Road",NA,"residential",NA,"minor",5,0
"1145","Station Road","B3395","secondary",NA,"minor",4,0
"1249","High Street",NA,"tertiary",NA,"minor",5,1
"1291",NA,NA,"unclassified",NA,"minor",5,0
"1294","Culver Down Road",NA,"unclassified",NA,"minor",5,0
"1295","Embankment Road","B3395","secondary",NA,"minor",1,0
"1297","Duver Road",NA,"unclassified",NA,"minor",5,0
"1298","Vine Road",NA,"unclassified",NA,"minor",3,0
"1317","Eddington Road","B3330","secondary",NA,"minor",4,0
"1319","Woodland Grove",NA,"residential",NA,"minor",4,1
"1570","Manna Road",NA,"residential",NA,"minor",4,1
"1571","Queens Road",NA,"residential",NA,"minor",4,1
"1572","Heathfield Road",NA,"residential",NA,"minor",4,1
"3152","Kings Road","B3395","secondary",NA,"minor",2,1
"3159","Sandown Road","B3395","secondary",NA,"minor",1,0
"3367","Marshcombe Shute","B3395","secondary",NA,"minor",1,0
"3377",NA,"A3055","primary",9225,"major",4,0
"3379","Smallbrook Lane",NA,"tertiary",NA,"minor",4,0
"3380","Bullen Road",NA,"tertiary",NA,"minor",3,0
"3410","Church Road",NA,"residential",NA,"minor",5,1
"3470","Medina Way","A3020","primary",27810,"major",4,1
"25903","George Street",NA,"primary",NA,"major",3,1
"25977","Cross Street",NA,"primary",NA,"major",1,1
"27177","Kings Road","B3395","secondary",NA,"minor",1,1
"28356","Player Street",NA,"residential",NA,"minor",5,1
"28358","Benett Street",NA,"residential",NA,"minor",5,1
"28359","Daniel Street",NA,"residential",NA,"minor",4,1
"101503","Quarry Road",NA,"residential",NA,"minor",5,1
"101509","Well Street",NA,"residential",NA,"minor",5,1
"227629","North Walk",NA,"unclassified",NA,"minor",5,1
"327011","Quay Street",NA,"unclassified",NA,"minor",4,1
"327072","St James's Street","B3323","secondary",NA,"minor",1,1
"327140","Chain Lane",NA,"unclassified",NA,"minor",3,1
"327467","Vicarage Walk",NA,"unclassified",NA,"minor",3,1
"342715","Monkton Street",NA,"tertiary",NA,"minor",3,1
"348345","School Street",NA,"residential",NA,"minor",4,1
"349218","Northclose Road",NA,"residential",NA,"minor",5,1
"349706","Egerton Road",NA,"residential",NA,"minor",4,1
"349707","Crossway",NA,"residential",NA,"minor",5,1
"349711","Walls Road",NA,"residential",NA,"minor",4,1
"349712","Brook Furlong",NA,"residential",NA,"minor",5,1
"349929","Harding Shute",NA,"unclassified",NA,"minor",5,0
"349930","Gordon Close",NA,"residential",NA,"minor",1,1
"354884","Edward Street",NA,"residential",NA,"minor",4,1
"358914","Strawberry Lane",NA,"unclassified",NA,"minor",5,0
"367521","Halberry Lane",NA,"residential",NA,"minor",5,1
"367522","Victoria Road",NA,"residential",NA,"minor",5,1
"367524","Heathfield Close",NA,"residential",NA,"minor",3,0
"367525","Landscape Lane",NA,"unclassified",NA,"minor",5,0
"367877","St James' Square",NA,"unclassified",NA,"minor",2,0
"367902","Bridge Road","A3054","primary",3831,"major",2,0
"367903","Halletts Shute","A3054","primary",3831,"major",4,0
"367911","East Hill Road","A3055","primary",9225,"major",5,1
"367912","Crocker Street",NA,"unclassified",NA,"minor",5,1
"367913","Hunnyhill",NA,"tertiary",NA,"minor",5,1
"367961","Medina Way","A3020","primary",27476,"major",2,1
"367967","Forest Road","A3054","primary",7942,"major",4,0
"367968","Swains Road",NA,"residential",NA,"minor",5,1
"367969","Mitten Road",NA,"residential",NA,"minor",4,1
"367972","Ducie Avenue",NA,"residential",NA,"minor",5,1
"367973","Love Lane",NA,"residential",NA,"minor",5,1
"367974","Sylvan Drive",NA,"residential",NA,"minor",2,0
"367975","Hunnycross Way",NA,"tertiary",NA,"minor",2,1
"368004","Foreland Farm Lane",NA,"residential",NA,"minor",4,1
"368005","Beachfield Road",NA,"residential",NA,"minor",5,1
"368006","Rolfs Close",NA,"residential",NA,"minor",3,1
"368007","Dennett Road",NA,"residential",NA,"minor",4,1
"368009","Circular Road",NA,"residential",NA,"minor",4,0
"368010","Great Preston Road",NA,"tertiary",NA,"minor",5,1
"368078","Froglands Lane",NA,"unclassified",NA,"minor",5,0
"368085","Meadow Close",NA,"residential",NA,"minor",4,1
"368086","Swains Lane",NA,"residential",NA,"minor",5,1
"368088","Brooks Close",NA,"residential",NA,"minor",4,1
"368089","Howgate Close",NA,"residential",NA,"minor",3,1
"368090","Pelham Close",NA,"residential",NA,"minor",3,1
"368091","Beach House Lane",NA,"unclassified",NA,"minor",2,1
"376113","Glenheadon Drive",NA,"residential",NA,"minor",3,1
