count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6009,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,7,M1,432150,429500,53.76087074,-1.5138143,1.9,1.18,Estimated,Estimated using previous year's AADF on this link,0,156,52909,227,10135,1228,276,285,422,1013,755,3977,67405
6055,2018,8,Yorkshire and The Humber,63,Leeds,M62,major,27,28,426000,426200,53.73155274,-1.60737394,4.9,3.04,Counted,Automatic counter,0,269,81632,230,21123,2967,696,755,607,6882,6251,18158,121412
6063,2018,8,Yorkshire and The Humber,63,Leeds,M621,major,RD SPLIT,1,426500,429600,53.76208625,-1.5995049,4,2.49,Estimated,Estimated using previous year's AADF on this link,0,152,51575,162,9780,1170,293,175,194,550,403,2786,64455
6578,2018,8,Yorkshire and The Humber,63,Leeds,A58,major,B6135,A6110,423443,429918,53.765089,-1.6458511,5.2,3.23,Counted,Manual count,63,53,5700,104,1033,110,16,11,36,3,11,188,7077
6595,2018,8,Yorkshire and The Humber,63,Leeds,A61,major,A654,A639,432560,428000,53.74736384,-1.50775305,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,50,102,8941,189,1740,80,23,9,36,13,8,169,11140
6607,2018,8,Yorkshire and The Humber,63,Leeds,A63,major,A642,Ninelands Lane,440000,432382,53.78623094,-1.39437606,1.9,1.18,Estimated,Estimated using previous year's AADF on this link,46,144,17456,143,2517,188,54,32,61,51,61,447,20707
6613,2018,8,Yorkshire and The Humber,63,Leeds,A65,major,A6038,A658,419934,441000,53.86483838,-1.69836777,3.4,2.11,Estimated,Estimated using previous year's AADF on this link,204,76,15671,146,2004,237,56,16,141,38,28,516,18413
7398,2018,8,Yorkshire and The Humber,63,Leeds,A639,major,A654,A642,436100,428000,53.7471315,-1.45407654,0.5,0.31,Estimated,Estimated using previous year's AADF on this link,65,181,14627,198,3124,168,55,15,70,37,34,379,18508
7402,2018,8,Yorkshire and The Humber,63,Leeds,A642,major,M62,Oulton Drive,436040,427000,53.73814801,-1.45510253,1.7,1.06,Estimated,Estimated using previous year's AADF on this link,36,119,12555,103,2055,211,36,49,93,77,58,525,15357
7403,2018,8,Yorkshire and The Humber,63,Leeds,A643,major,A650,A6110,427560,429830,53.76409868,-1.58340592,4.2,2.61,Estimated,Estimated using previous year's AADF on this link,126,62,10790,214,1466,105,9,2,3,4,2,124,12656
7410,2018,8,Yorkshire and The Humber,63,Leeds,A647,major,A6110,A657,424500,434000,53.80172997,-1.62949395,0.8,0.5,Counted,Manual count,1,112,19805,276,2445,211,36,8,60,15,63,392,23030
7415,2018,8,Yorkshire and The Humber,63,Leeds,A650,major,A654,M1,430000,425120,53.7216321,-1.54684874,2.8,1.74,Estimated,Estimated using previous year's AADF on this link,38,126,13468,79,2343,81,16,10,36,13,16,173,16188
7418,2018,8,Yorkshire and The Humber,63,Leeds,A654,major,Arran Way,A639,435883,428205,53.748987,-1.4573432,1.3,0.81,Counted,Manual count,38,93,8714,15,1044,67,14,7,9,11,7,113,9980
